Leash;Green_Bowl;Red_Ball;Blue_Bowl;Cat_Toy;Dog_Toy;Cat_Litter;Formula;Eye_Drops;Fish_Food;Cat_Treat;Dog_Treat;Fountain;Feather_Toy;Green_Ball;Red_Bowl;Blue_Ball;Cat_Food;Dog_Food;Scoop;Box
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1
0;1;1;1;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;0
